pvog	annotation_processed	annotation_raw
VOG7999	unknown	hypothetical protein
VOG8000	unknown	hypothetical protein
VOG8001	lysozyme	lysozyme
VOG8002	unknown	hypothetical protein
VOG8003	unknown	hypothetical protein
VOG8004	tail sheath	tail sheath protein
VOG8005	unknown	hypothetical protein
VOG8006	unknown	hypothetical protein
VOG8007	unknown	hypothetical protein
VOG8008	unknown	hypothetical protein
VOG8009	unknown	hypothetical protein
VOG8010	unknown	hypothetical protein
VOG8011	unknown	hypothetical protein
VOG8012	unknown	hypothetical protein
VOG8013	unknown	hypothetical protein
VOG8014	unknown	hypothetical protein
VOG8015	unknown	hypothetical protein
VOG8016	unknown	hypothetical protein
VOG8017	unknown	hypothetical protein
VOG8018	unknown	hypothetical protein
VOG8019	unknown	hypothetical protein
VOG8020	unknown	hypothetical protein
VOG8021	unknown	hypothetical protein
VOG8022	unknown	hypothetical protein
VOG8023	virion  and lysozyme murein	putative virion protein and lysozyme murein
VOG8024	unknown	hypothetical protein
VOG8025	unknown	hypothetical protein
VOG8026	unknown	hypothetical protein
VOG8027	unknown	hypothetical protein
VOG8028	unknown	hypothetical protein
VOG8029	unknown	hypothetical protein
VOG8030	unknown	hypothetical protein
VOG8031	unknown	hypothetical protein
VOG8032	tail fiber	putative tail fiber protein
VOG8033	unknown	hypothetical protein
VOG8034	unknown	hypothetical protein
VOG8035	unknown	hypothetical protein
VOG8036	unknown	hypothetical protein
VOG8037	unknown	hypothetical protein
VOG8038	unknown	hypothetical protein
VOG8039	unknown	hypothetical protein
VOG8040	unknown	hypothetical protein
VOG8041	unknown	hypothetical protein
VOG8042	unknown	hypothetical protein
VOG8043	unknown	hypothetical protein
VOG8044	unknown	hypothetical protein
VOG8045	unknown	hypothetical protein
VOG8046	unknown	hypothetical protein
VOG8047	unknown	hypothetical protein
VOG8048	unknown	hypothetical protein
VOG8049	unknown	hypothetical protein
VOG8050	unknown	unknown
VOG8051	unknown	hypothetical protein
VOG8052	unknown	hypothetical protein
VOG8053	unknown	hypothetical protein
VOG8054	unknown	hypothetical protein
VOG8055	unknown	hypothetical protein
VOG8056	unknown	hypothetical protein
VOG8057	unknown	hypothetical protein
VOG8058	unknown	hypothetical protein
VOG8059	unknown	hypothetical protein
VOG8060	unknown	hypothetical protein
VOG8061	unknown	hypothetical protein
VOG8062	unknown	hypothetical protein
VOG8063	unknown	hypothetical protein
VOG8064	unknown	hypothetical protein
VOG8065	unknown	hypothetical protein
VOG8066	unknown	DNA polymerase III alpha subunit
VOG8067	unknown	hypothetical protein
VOG8068	unknown	hypothetical protein
VOG8069	unknown	hypothetical protein
VOG8070	unknown	hypothetical protein
VOG8071	unknown	hypothetical protein
VOG8072	unknown	hypothetical protein
VOG8073	unknown	hypothetical protein
VOG8074	unknown	hypothetical protein
VOG8075	unknown	hypothetical protein
VOG8076	unknown	hypothetical protein
VOG8077	unknown	hypothetical protein
VOG8078	unknown	hypothetical protein
VOG8079	unknown	hypothetical protein
VOG8080	unknown	hypothetical protein
VOG8081	unknown	hypothetical protein
VOG8082	unknown	hypothetical protein
VOG8083	unknown	hypothetical protein
VOG8084	unknown	hypothetical protein
VOG8085	methyltransferase	methyltransferase
VOG8086	unknown	hypothetical protein
VOG8087	unknown	hypothetical protein
VOG8088	unknown	hypothetical protein
VOG8089	unknown	hypothetical protein
VOG8090	unknown	hypothetical protein
VOG8091	unknown	hypothetical protein
VOG8092	unknown	hypothetical protein
VOG8093	unknown	hypothetical protein
VOG8094	unknown	hypothetical protein
VOG8095	unknown	hypothetical protein
VOG8096	unknown	hypothetical protein
VOG8097	unknown	hypothetical protein
VOG8098	unknown	hypothetical protein
VOG8099	unknown	hypothetical protein
VOG8100	unknown	hypothetical protein
VOG8101	unknown	hypothetical protein
VOG8102	unknown	hypothetical protein
VOG8103	unknown	hypothetical protein
VOG8104	unknown	hypothetical protein
VOG8105	unknown	hypothetical protein
VOG8106	unknown	hypothetical protein
VOG8107	unknown	hypothetical protein
VOG8108	unknown	hypothetical protein
VOG8109	unknown	unknown
VOG8110	unknown	hypothetical protein
VOG8111	unknown	hypothetical protein
VOG8112	unknown	hypothetical protein
VOG8113	unknown	hypothetical protein
VOG8114	unknown	hypothetical protein
VOG8115	unknown	hypothetical protein
VOG8116	unknown	hypothetical protein
VOG8117	unknown	hypothetical protein
VOG8118	unknown	hypothetical protein
VOG8119	unknown	hypothetical protein
VOG8120	unknown	hypothetical protein
VOG8121	unknown	hypothetical protein
VOG8122	unknown	hypothetical protein
VOG8123	unknown	hypothetical protein
VOG8124	unknown	hypothetical protein
