pvog	annotation_processed	annotation_raw
VOG10975	unknown	hypothetical protein
VOG10976	unknown	hypothetical protein
VOG10977	unknown	hypothetical protein
VOG10978	peptidase/serine protease	putative peptidase/serine protease
VOG10979	DNA polymerase III subunit beta	DNA polymerase III subunit beta
VOG10980	unknown	hypothetical protein
VOG10981	unknown	hypothetical protein
VOG10982	unknown	hypothetical protein
VOG10983	gp15.1	gp15.1
VOG10984	gp32.5	gp32.5
VOG10985	unknown	hypothetical protein
VOG10986	adenosylribosyltransferase	adenosylribosyltransferase
VOG10987	unknown	hypothetical protein
VOG10988	unknown	hypothetical protein
VOG10989	unknown	hypothetical protein
VOG1099	major capsid	major capsid protein
VOG10990	unknown	hypothetical protein
VOG10991	unknown	hypothetical protein
VOG10992	unknown	hypothetical protein
VOG10993	peptidase domain-containing	peptidase domain-containing protein
VOG10994	unknown	hypothetical protein
VOG10995	head morphogenesis	head morphogenesis protein
VOG10996	unknown	hypothetical protein
VOG10997	unknown	hypothetical protein
VOG10998	unknown	hypothetical protein
VOG10999	unknown	hypothetical protein
VOG1100	unknown	hypothetical protein
VOG11000	ORF15	ORF15
VOG11001	unknown	hypothetical protein
VOG11002	unknown	hypothetical protein
VOG11003	unknown	hypothetical protein
VOG11004	unknown	hypothetical protein
VOG11005	unknown	hypothetical protein
VOG11006	unknown	hypothetical protein
VOG11007	unknown	hypothetical protein
VOG11008	unknown	hypothetical protein
VOG11009	TROVE-like domain	putative TROVE-like domain protein
VOG1101	unknown	hypothetical protein
VOG11010	unknown	hypothetical protein
VOG11011	unknown	hypothetical protein
VOG11012	unknown	hypothetical protein
VOG11013	unknown	hypothetical protein
VOG11014	unknown	hypothetical protein
VOG11015	N-acetyltransferase GCN5	N-acetyltransferase GCN5
VOG11016	transcriptional regulator	putative transcriptional regulator
VOG11017	radical SAM superfamily  1	putative radical SAM superfamily protein 1
VOG11018	unknown	hypothetical protein
VOG11019	unknown	hypothetical protein
VOG1102	unknown	hypothetical protein
VOG11020	unknown	hypothetical protein
VOG11021	unknown	hypothetical protein
VOG11022	unknown	hypothetical protein
VOG11023	unknown	hypothetical protein
VOG11024	unknown	hypothetical protein
VOG11025	unknown	hypothetical protein
VOG11026	unknown	unknown
VOG11027	unknown	hypothetical protein
VOG11028	unknown	hypothetical protein
VOG11029	unknown	hypothetical protein
VOG1103	unknown	hypothetical protein
VOG11030	unknown	hypothetical protein
VOG11031	unknown	unknown
VOG11032	unknown	unknown
VOG11033	unknown	hypothetical protein
VOG11034	unknown	hypothetical protein
VOG11035	unknown	hypothetical protein
VOG11036	unknown	hypothetical protein
VOG11037	unknown	hypothetical protein
VOG11038	unknown	hypothetical protein
VOG11039	unknown	hypothetical protein
VOG1104	unknown	hypothetical protein
VOG11040	unknown	hypothetical protein
VOG11041	unknown	hypothetical protein
VOG11042	unknown	hypothetical protein
VOG11043	unknown	hypothetical protein
VOG11044	unknown	hypothetical protein
VOG11045	unknown	hypothetical protein
VOG11046	unknown	hypothetical protein
VOG11047	unknown	hypothetical protein
VOG11048	structural	structural protein
VOG11049	unknown	hypothetical protein
VOG1105	major tail subunit	major tail subunit
VOG11050	unknown	hypothetical protein
VOG11051	unknown	hypothetical protein
VOG11052	unknown	hypothetical protein
VOG11053	tape measure	tape measure protein
VOG11054	unknown	hypothetical protein
VOG11055	unknown	hypothetical protein
VOG11056	unknown	hypothetical protein
VOG11057	unknown	hypothetical protein
VOG11058	unknown	hypothetical protein
VOG11059	unknown	hypothetical protein
VOG1106	unknown	hypothetical protein
VOG11060	unknown	hypothetical protein
VOG11061	unknown	hypothetical protein
VOG11062	unknown	hypothetical protein
VOG11063	unknown	hypothetical protein
VOG11064	unknown	hypothetical protein
VOG11065	unknown	unknown
VOG11066	unknown	hypothetical protein
VOG11067	unknown	hypothetical protein
VOG11068	unknown	hypothetical protein
VOG11069	unknown	hypothetical protein
VOG1107	unknown	hypothetical protein
VOG11070	tail fiber	tail fiber protein
VOG11071	tape measure	putative tape measure protein
VOG11072	unknown	hypothetical protein
VOG11073	unknown	hypothetical protein
VOG11074	unknown	hypothetical protein
VOG11075	DNA binding	putative DNA binding protein
VOG11076	unknown	hypothetical protein
VOG11077	unknown	hypothetical protein
VOG11078	unknown	hypothetical protein
VOG11079	unknown	hypothetical protein
VOG1108	unknown	hypothetical protein
VOG11080	crossover junction endodeoxyribonuclease RusA	putative crossover junction endodeoxyribonuclease RusA
VOG11081	Rec A-like recombinase	Rec A-like recombinase
VOG11082	unknown	hypothetical protein
VOG11083	unknown	hypothetical protein
VOG11084	unknown	hypothetical protein
VOG11085	unknown	hypothetical protein
VOG11086	unknown	hypothetical protein
VOG11087	unknown	unknown
VOG11088	unknown	hypothetical protein
VOG11089	unknown	hypothetical protein
VOG1109	unknown	hypothetical protein
VOG11090	unknown	hypothetical protein
VOG11091	unknown	hypothetical protein
VOG11092	unknown	hypothetical protein
VOG1110	unknown	hypothetical protein
VOG1112	minor tail	minor tail protein
VOG1113	minor tail	minor tail protein
VOG1119	unknown	hypothetical protein
VOG1120	unknown	hypothetical protein
VOG1121	unknown	hypothetical protein
VOG1122	unknown	hypothetical protein
VOG1123	unknown	hypothetical protein
VOG1124	unknown	hypothetical protein
VOG1125	unknown	hypothetical protein
VOG1126	unknown	hypothetical protein
VOG1129	unknown	hypothetical protein
VOG1133	unknown	hypothetical protein
VOG1134	unknown	hypothetical protein
VOG1136	unknown	hypothetical protein
VOG1137	unknown	hypothetical protein
VOG1141	unknown	hypothetical protein
VOG1142	unknown	hypothetical protein
VOG1143	unknown	hypothetical protein
VOG1144	unknown	hypothetical protein
VOG1145	unknown	hypothetical protein
VOG1146	RNaseE	RNaseE
VOG1147	unknown	hypothetical protein
VOG1148	unknown	hypothetical protein
VOG1149	unknown	hypothetical protein
VOG1150	unknown	hypothetical protein
VOG1151	unknown	hypothetical protein
VOG1152	unknown	hypothetical protein
VOG1153	unknown	hypothetical protein
VOG1154	unknown	hypothetical protein
VOG1156	unknown	hypothetical protein
VOG1157	unknown	hypothetical protein
VOG1158	unknown	hypothetical protein
VOG1159	unknown	hypothetical protein
VOG1160	unknown	hypothetical protein
VOG1165	minor tail	minor tail protein
VOG1166	unknown	hypothetical protein
VOG1167	minor tail	minor tail protein
VOG1168	unknown	hypothetical protein
VOG1172	unknown	hypothetical protein
VOG1173	unknown	hypothetical protein
VOG1175	unknown	hypothetical protein
VOG1176	unknown	hypothetical protein
VOG1177	unknown	hypothetical protein
VOG1178	unknown	hypothetical protein
VOG1179	gp81	gp81
VOG1180	unknown	hypothetical protein
VOG1181	unknown	hypothetical protein
VOG1183	unknown	hypothetical protein
VOG1184	gp43	gp43
VOG1186	unknown	hypothetical protein
VOG1187	unknown	hypothetical protein
VOG1188	unknown	hypothetical protein
VOG1190	portal	portal protein
VOG1191	major capsid	major capsid protein
VOG1192	unknown	hypothetical protein
VOG1196	unknown	hypothetical protein
VOG1198	DNA polymerase III alpha subunit	DNA polymerase III alpha subunit
VOG1200	galactosyltransferase	galactosyltransferase
VOG1201	glycosyltransferase	glycosyltransferase
VOG1206	unknown	hypothetical protein
VOG1207	unknown	hypothetical protein
VOG1208	unknown	hypothetical protein
VOG1209	unknown	hypothetical protein
VOG1210	unknown	hypothetical protein
VOG1212	unknown	hypothetical protein
VOG1213	tail assembly chaperone	tail assembly chaperone
VOG1215	minor tail	minor tail protein
VOG1222	holin	holin
VOG1223	unknown	hypothetical protein
VOG1224	unknown	hypothetical protein
VOG1225	Lsr2	Lsr2
VOG1227	unknown	hypothetical protein
VOG1228	unknown	hypothetical protein
VOG1229	unknown	hypothetical protein
VOG1232	unknown	hypothetical protein
VOG1233	unknown	hypothetical protein
VOG1234	unknown	hypothetical protein
VOG1236	unknown	hypothetical protein
VOG1237	unknown	hypothetical protein
VOG1238	unknown	hypothetical protein
VOG1241	unknown	hypothetical protein
VOG1242	unknown	hypothetical protein
VOG1243	unknown	hypothetical protein
VOG1244	unknown	hypothetical protein
VOG1246	unknown	hypothetical protein
VOG1248	unknown	hypothetical protein
VOG1249	unknown	hypothetical protein
VOG1250	unknown	hypothetical protein
VOG1251	unknown	hypothetical protein
VOG1252	unknown	hypothetical protein
VOG1254	unknown	hypothetical protein
VOG1255	unknown	hypothetical protein
VOG1256	unknown	hypothetical protein
VOG1257	unknown	hypothetical protein
VOG1258	unknown	hypothetical protein
VOG1259	unknown	hypothetical protein
VOG1260	unknown	hypothetical protein
VOG1261	unknown	hypothetical protein
VOG1262	unknown	hypothetical protein
VOG1263	unknown	hypothetical protein
VOG1266	unknown	hypothetical protein
VOG1269	unknown	hypothetical protein
VOG1270	gp13	gp13
VOG1275	unknown	hypothetical protein
VOG1276	unknown	hypothetical protein
VOG1277	unknown	hypothetical protein
VOG1278	unknown	hypothetical protein
VOG1279	predicted hydrolase	predicted hydrolase
VOG1280	unknown	hypothetical protein
VOG1281	unknown	hypothetical protein
VOG1282	unknown	hypothetical protein
VOG1283	unknown	hypothetical protein
VOG1284	CHC2 zinc finger	CHC2 zinc finger protein
VOG1285	unknown	hypothetical protein
VOG1286	unknown	hypothetical protein
VOG1287	unknown	unknown
VOG1289	unknown	unknown
VOG1292	hydrolase	hypothetical protein
VOG1294	unknown	hypothetical protein
VOG1295	unknown	hypothetical protein
VOG1297	conserved	conserved hypothetical protein
VOG1298	methyltransferase	putative methyltransferase
VOG1300	conserved	conserved hypothetical protein
VOG1301	unknown	hypothetical protein
VOG1302	unknown	hypothetical protein
VOG1303	unknown	hypothetical protein
VOG1304	unknown	hypothetical protein
VOG1305	unknown	hypothetical protein
VOG1306	conserved	conserved hypothetical protein
VOG1307	unknown	hypothetical protein
VOG1309	RecT	RecT
VOG1311	PcfU	PcfU
VOG1312	unknown	hypothetical protein
VOG1313	unknown	hypothetical protein
VOG1314	conserved	conserved hypothetical protein
VOG1315	unknown	hypothetical protein
VOG1317	unknown	hypothetical protein
VOG1318	unknown	hypothetical protein
VOG1319	major head	major head protein
VOG1320	unknown	hypothetical protein
VOG1321	unknown	hypothetical protein
VOG1322	unknown	hypothetical protein
VOG1323	unknown	hypothetical protein
VOG1324	unknown	hypothetical protein
VOG1325	unknown	hypothetical protein
VOG1326	unknown	hypothetical protein
VOG1327	unknown	hypothetical protein
VOG1328	unknown	hypothetical protein
VOG1329	major capsid	major capsid protein
VOG1330	unknown	unknown
VOG1333	unknown	hypothetical protein
VOG1334	unknown	hypothetical protein
VOG1335	unknown	hypothetical protein
VOG1336	unknown	hypothetical protein
VOG1337	HNH endonuclease	HNH endonuclease
VOG1342	unknown	hypothetical protein
VOG1343	unknown	hypothetical protein
VOG1344	nicotinamide mononucleotide transporter	nicotinamide mononucleotide transporter
VOG1345	unknown	hypothetical protein
VOG1347	unknown	hypothetical protein
VOG1348	unknown	hypothetical protein
VOG1350	unknown	hypothetical protein
VOG1352	unknown	hypothetical protein
VOG1353	unknown	hypothetical protein
VOG1355	unknown	hypothetical protein
VOG1356	unknown	hypothetical protein
VOG1358	unknown	hypothetical protein
VOG1359	unknown	hypothetical protein
VOG1361	unknown	hypothetical protein
VOG1362	unknown	hypothetical protein
VOG1363	Sir2-like	putative Sir2-like protein
VOG1364	unknown	hypothetical protein
VOG1365	unknown	hypothetical protein
VOG1369	unknown	hypothetical protein
VOG1370	unknown	hypothetical protein
VOG1371	unknown	hypothetical protein
VOG1372	unknown	hypothetical protein
VOG1373	unknown	hypothetical protein
VOG1374	unknown	hypothetical protein
VOG1375	unknown	hypothetical protein
VOG1376	unknown	hypothetical protein
VOG1377	unknown	hypothetical protein
VOG1379	unknown	hypothetical protein
VOG1381	unknown	hypothetical protein
VOG1382	unknown	hypothetical protein
VOG1383	unknown	hypothetical protein
VOG1384	unknown	hypothetical protein
VOG1386	unknown	hypothetical protein
VOG1388	unknown	hypothetical protein
VOG1389	unknown	hypothetical protein
VOG1390	unknown	hypothetical protein
VOG1391	transaldolase-like	transaldolase-like protein
VOG1392	unknown	hypothetical protein
VOG1393	unknown	hypothetical protein
VOG1394	unknown	hypothetical protein
VOG1395	unknown	hypothetical protein
VOG1396	unknown	hypothetical protein
VOG1397	unknown	hypothetical protein
VOG1400	unknown	hypothetical protein
VOG1401	unknown	hypothetical protein
VOG1402	unknown	hypothetical protein
VOG1403	DUF680 domain-containing	DUF680 domain-containing protein
VOG1404	photosystem II D1	photosystem II D1 protein
VOG1405	high light inducible	high light inducible protein
VOG1406	unknown	hypothetical protein
VOG1407	unknown	hypothetical protein
VOG1410	unknown	hypothetical protein
VOG1411	unknown	hypothetical protein
VOG1412	unknown	hypothetical protein
VOG1414	unknown	hypothetical protein
VOG1415	unknown	hypothetical protein
VOG1416	unknown	hypothetical protein
VOG1418	unknown	hypothetical protein
VOG1419	unknown	hypothetical protein
VOG1422	unknown	hypothetical protein
VOG1424	unknown	hypothetical protein
VOG1426	unknown	hypothetical protein
VOG1427	unknown	hypothetical protein
VOG1428	unknown	hypothetical protein
VOG1429	unknown	hypothetical protein
VOG1433	unknown	hypothetical protein
VOG1436	tail fiber	tail fiber protein
VOG1439	unknown	hypothetical protein
VOG1442	unknown	hypothetical protein
VOG1443	unknown	hypothetical protein
VOG1445	unknown	hypothetical protein
VOG1446	unknown	hypothetical protein
VOG1447	unknown	hypothetical protein
VOG1448	unknown	hypothetical protein
VOG1451	unknown	hypothetical protein
VOG1456	unknown	hypothetical protein
VOG1457	unknown	hypothetical protein
VOG1460	unknown	hypothetical protein
VOG1461	unknown	hypothetical protein
VOG1462	unknown	hypothetical protein
VOG1467	unknown	hypothetical protein
VOG1468	unknown	hypothetical protein
VOG1472	unknown	hypothetical protein
VOG1474	unknown	hypothetical protein
VOG1478	unknown	hypothetical protein
VOG1483	unknown	hypothetical protein
VOG1485	unknown	hypothetical protein
VOG1487	unknown	hypothetical protein
VOG1489	unknown	hypothetical protein
VOG1490	unknown	hypothetical protein
VOG1491	unknown	hypothetical protein
VOG1493	unknown	hypothetical protein
VOG1499	unknown	hypothetical protein
VOG1502	unknown	hypothetical protein
VOG1503	unknown	hypothetical protein
VOG1505	unknown	hypothetical protein
VOG1507	unknown	hypothetical protein
VOG1508	unknown	hypothetical protein
VOG1509	unknown	hypothetical protein
VOG1510	unknown	hypothetical protein
VOG1515	unknown	hypothetical protein
VOG1517	terminase small subunit	putative terminase small subunit
VOG1518	portal	hypothetical protein
VOG1519	tail	putative tail protein
VOG1520	unknown	hypothetical protein
VOG1521	unknown	hypothetical protein
VOG1523	unknown	hypothetical protein
VOG1525	unknown	hypothetical protein
VOG1527	unknown	hypothetical protein
VOG1528	unknown	hypothetical protein
VOG1539	unknown	hypothetical protein
VOG1540	unknown	hypothetical protein
VOG1543	unknown	hypothetical protein
VOG1544	unknown	hypothetical protein
VOG1545	unknown	hypothetical protein
VOG1547	unknown	hypothetical protein
VOG1549	unknown	hypothetical protein
VOG1550	unknown	hypothetical protein
VOG1551	unknown	hypothetical protein
VOG1552	unknown	hypothetical protein
VOG1555	unknown	hypothetical protein
VOG1561	unknown	hypothetical protein
VOG1563	unknown	hypothetical protein
VOG1564	unknown	hypothetical protein
VOG1565	unknown	hypothetical protein
VOG1573	unknown	hypothetical protein
VOG1574	unknown	hypothetical protein
VOG1575	unknown	hypothetical protein
VOG1577	unknown	hypothetical protein
VOG1580	unknown	hypothetical protein
VOG1581	unknown	hypothetical protein
VOG1583	unknown	hypothetical protein
VOG1584	unknown	hypothetical protein
VOG1587	tail assembly chaperone	tail assembly chaperone
VOG1589	unknown	hypothetical protein
VOG1590	minor tail	minor tail protein
VOG1591	unknown	hypothetical protein
VOG1593	unknown	hypothetical protein
VOG1594	unknown	hypothetical protein
VOG1595	unknown	hypothetical protein
VOG1596	unknown	hypothetical protein
VOG1597	unknown	hypothetical protein
VOG1598	unknown	hypothetical protein
VOG1599	unknown	hypothetical protein
VOG1600	unknown	hypothetical protein
VOG1601	unknown	hypothetical protein
VOG1602	unknown	hypothetical protein
VOG1603	unknown	hypothetical protein
VOG1604	unknown	hypothetical protein
VOG1605	unknown	hypothetical protein
VOG1606	unknown	hypothetical protein
VOG1607	unknown	hypothetical protein
VOG1609	DNA primase	DNA primase
VOG1610	unknown	hypothetical protein
VOG1611	unknown	hypothetical protein
VOG1613	unknown	hypothetical protein
VOG1614	unknown	hypothetical protein
VOG1615	unknown	hypothetical protein
VOG1617	gp63	gp63
VOG1618	gp64	gp64
VOG1619	gp65	gp65
VOG1621	unknown	hypothetical protein
VOG1622	unknown	hypothetical protein
VOG1623	unknown	hypothetical protein
VOG1624	unknown	hypothetical protein
VOG1625	unknown	hypothetical protein
VOG1626	unknown	hypothetical protein
VOG1627	unknown	hypothetical protein
VOG1628	unknown	hypothetical protein
VOG1629	unknown	hypothetical protein
VOG1630	unknown	hypothetical protein
VOG1631	unknown	hypothetical protein
VOG1632	unknown	hypothetical protein
VOG1633	unknown	hypothetical protein
VOG1634	unknown	hypothetical protein
VOG1635	unknown	hypothetical protein
VOG1636	unknown	hypothetical protein
VOG1637	unknown	hypothetical protein
VOG1638	unknown	hypothetical protein
VOG1641	unknown	hypothetical protein
VOG1642	unknown	hypothetical protein
VOG1643	unknown	hypothetical protein
VOG1644	unknown	hypothetical protein
VOG1646	unknown	hypothetical protein
VOG1647	ParB	ParB
VOG1648	unknown	hypothetical protein
VOG1649	unknown	hypothetical protein
VOG1650	unknown	hypothetical protein
VOG1651	unknown	hypothetical protein
VOG1652	unknown	hypothetical protein
VOG1654	esterase/lipase	esterase/lipase
VOG1655	unknown	hypothetical protein
VOG1656	unknown	hypothetical protein
VOG1657	unknown	hypothetical protein
VOG1658	unknown	hypothetical protein
VOG1659	unknown	hypothetical protein
VOG1661	unknown	hypothetical protein
VOG1662	unknown	hypothetical protein
VOG1663	unknown	hypothetical protein
VOG1666	unknown	hypothetical protein
VOG1668	unknown	hypothetical protein
VOG1669	unknown	hypothetical protein
VOG1670	unknown	hypothetical protein
VOG1673	unknown	hypothetical protein
VOG1675	unknown	hypothetical protein
VOG1676	unknown	hypothetical protein
VOG1677	unknown	hypothetical protein
VOG1678	unknown	hypothetical protein
VOG1680	unknown	hypothetical protein
VOG1681	translation repressor	translation repressor
VOG1682	unknown	hypothetical protein
VOG1683	unknown	hypothetical protein
VOG1684	unknown	hypothetical protein
VOG1685	unknown	hypothetical protein
VOG1689	unknown	hypothetical protein
VOG1690	unknown	hypothetical protein
VOG1691	unknown	hypothetical protein
VOG1692	unknown	hypothetical protein
VOG1693	unknown	hypothetical protein
VOG1694	unknown	hypothetical protein
VOG1695	unknown	hypothetical protein
VOG1696	unknown	hypothetical protein
VOG1697	unknown	hypothetical protein
VOG1698	unknown	hypothetical protein
VOG1699	unknown	hypothetical protein
VOG1700	unknown	hypothetical protein
VOG1701	unknown	hypothetical protein
VOG1702	unknown	hypothetical protein
VOG1703	unknown	hypothetical protein
VOG1706	unknown	hypothetical protein
VOG1707	unknown	hypothetical protein
VOG1708	unknown	hypothetical protein
VOG1709	unknown	hypothetical protein
VOG1710	unknown	hypothetical protein
VOG1711	unknown	hypothetical protein
VOG1712	unknown	hypothetical protein
VOG1713	unknown	hypothetical protein
VOG1714	unknown	hypothetical protein
VOG1715	unknown	hypothetical protein
VOG1716	unknown	hypothetical protein
VOG1717	unknown	hypothetical protein
VOG1718	unknown	hypothetical protein
VOG1719	unknown	hypothetical protein
VOG1720	unknown	hypothetical protein
VOG1721	unknown	hypothetical protein
VOG1724	unknown	hypothetical protein
VOG1725	unknown	hypothetical protein
VOG1726	unknown	hypothetical protein
VOG1727	unknown	hypothetical protein
VOG1728	unknown	hypothetical protein
VOG1729	unknown	hypothetical protein
VOG1730	unknown	hypothetical protein
VOG1731	unknown	hypothetical protein
VOG1732	unknown	hypothetical protein
VOG1733	unknown	hypothetical protein
VOG1734	unknown	hypothetical protein
VOG1735	unknown	hypothetical protein
VOG1736	unknown	hypothetical protein
VOG1737	unknown	hypothetical protein
VOG1738	unknown	hypothetical protein
VOG1739	unknown	hypothetical protein
VOG1740	unknown	hypothetical protein
VOG1741	unknown	hypothetical protein
VOG1742	unknown	hypothetical protein
VOG1743	unknown	hypothetical protein
VOG1744	unknown	hypothetical protein
VOG1745	unknown	hypothetical protein
VOG1746	unknown	hypothetical protein
VOG1747	unknown	hypothetical protein
VOG1748	unknown	hypothetical protein
VOG1749	unknown	hypothetical protein
VOG1750	unknown	hypothetical protein
VOG1751	unknown	hypothetical protein
VOG1752	unknown	hypothetical protein
VOG1753	unknown	hypothetical protein
VOG1754	unknown	hypothetical protein
VOG1755	unknown	hypothetical protein
VOG1756	unknown	hypothetical protein
VOG1757	unknown	hypothetical protein
VOG1760	unknown	hypothetical protein
VOG1761	unknown	hypothetical protein
VOG1762	unknown	hypothetical protein
VOG1763	unknown	hypothetical protein
VOG1764	unknown	hypothetical protein
VOG1765	unknown	hypothetical protein
VOG1766	unknown	hypothetical protein
VOG1768	unknown	hypothetical protein
VOG1769	unknown	hypothetical protein
VOG1770	unknown	hypothetical protein
VOG1771	unknown	hypothetical protein
VOG1772	unknown	hypothetical protein
VOG1773	unknown	hypothetical protein
VOG1774	unknown	hypothetical protein
VOG1775	unknown	hypothetical protein
VOG1776	unknown	hypothetical protein
VOG1777	unknown	hypothetical protein
VOG1778	unknown	hypothetical protein
VOG1779	unknown	hypothetical protein
VOG1780	unknown	hypothetical protein
VOG1781	unknown	hypothetical protein
VOG1782	unknown	hypothetical protein
VOG1783	unknown	hypothetical protein
VOG1784	unknown	hypothetical protein
VOG1785	unknown	hypothetical protein
VOG1786	unknown	hypothetical protein
VOG1787	unknown	hypothetical protein
VOG1788	unknown	hypothetical protein
VOG1789	unknown	hypothetical protein
VOG1790	unknown	hypothetical protein
VOG1791	unknown	hypothetical protein
VOG1792	unknown	hypothetical protein
VOG1793	unknown	hypothetical protein
VOG1794	unknown	hypothetical protein
VOG1795	unknown	hypothetical protein
VOG1796	unknown	hypothetical protein
VOG1797	unknown	hypothetical protein
VOG1798	unknown	hypothetical protein
VOG1799	unknown	hypothetical protein
VOG1800	unknown	hypothetical protein
VOG1801	unknown	base plate hub assembly catalyst
VOG1803	unknown	hypothetical protein
VOG1807	unknown	hypothetical protein
VOG1808	unknown	hypothetical protein
VOG1809	unknown	hypothetical protein
VOG1810	unknown	hypothetical protein
VOG1811	unknown	hypothetical protein
VOG1813	unknown	hypothetical protein
VOG1814	unknown	hypothetical protein
VOG1815	unknown	hypothetical protein
VOG1816	unknown	hypothetical protein
VOG1817	unknown	hypothetical protein
VOG1818	unknown	hypothetical protein
VOG1819	unknown	hypothetical protein
VOG1820	unknown	hypothetical protein
VOG1821	unknown	hypothetical protein
VOG1823	unknown	hypothetical protein
VOG1824	unknown	hypothetical protein
VOG1825	unknown	hypothetical protein
VOG1826	unknown	hypothetical protein
VOG1827	unknown	hypothetical protein
VOG1828	unknown	hypothetical protein
VOG1829	head assembly cochaperone with GroEL	head assembly cochaperone with GroEL
VOG1831	unknown	hypothetical protein
VOG1832	unknown	hypothetical protein
VOG1833	unknown	hypothetical protein
VOG1834	unknown	hypothetical protein
VOG1835	unknown	hypothetical protein
VOG1836	unknown	hypothetical protein
VOG1837	unknown	hypothetical protein
VOG1838	unknown	hypothetical protein
VOG1839	unknown	hypothetical protein
VOG1841	unknown	hypothetical protein
VOG1842	unknown	hypothetical protein
VOG1843	unknown	hypothetical protein
VOG1844	unknown	hypothetical protein
VOG1845	unknown	hypothetical protein
VOG1846	unknown	hypothetical protein
VOG1847	unknown	hypothetical protein
VOG1849	unknown	hypothetical protein
VOG1850	tRNA nucleotidyltransferase	tRNA nucleotidyltransferase
VOG1851	unknown	hypothetical protein
VOG1852	unknown	hypothetical protein
VOG1853	unknown	hypothetical protein
VOG1854	unknown	hypothetical protein
VOG1855	unknown	hypothetical protein
VOG1856	unknown	hypothetical protein
VOG1857	unknown	hypothetical protein
VOG1858	unknown	hypothetical protein
VOG1859	unknown	hypothetical protein
VOG1860	loader of DNA helicase	loader of DNA helicase
VOG1861	late promoter transcription accessory	late promoter transcription accessory protein
VOG1862	unknown	hypothetical protein
VOG1863	unknown	hypothetical protein
VOG1864	anti-sigma 70	anti-sigma 70 protein
VOG1865	unknown	hypothetical protein
VOG1866	unknown	hypothetical protein
VOG1867	unknown	hypothetical protein
VOG1868	unknown	hypothetical protein
VOG1869	unknown	hypothetical protein
VOG1870	unknown	hypothetical protein
VOG1871	unknown	NudE nudix hydrolase
VOG1873	unknown	hypothetical protein
VOG1874	unknown	gp35 hinge long tail fiber proximal connector
VOG1877	unknown	hypothetical protein
VOG1878	unknown	hypothetical protein
VOG1879	unknown	hypothetical protein
VOG1880	unknown	hypothetical protein
VOG1881	unknown	unknown
VOG1883	unknown	unknown
VOG1884	unknown	hypothetical protein
VOG1886	terminase large subunit	putative terminase large subunit
VOG1887	major capsid	major capsid protein
VOG1888	unknown	hypothetical protein
VOG1890	unknown	hypothetical protein
VOG1891	unknown	hypothetical protein
VOG1892	unknown	hypothetical protein
VOG1893	unknown	hypothetical protein
VOG1894	holin	holin
VOG1895	unknown	hypothetical protein
VOG1897	unknown	hypothetical protein
VOG1898	major tail	major tail protein
VOG1899	unknown	hypothetical protein
VOG1900	unknown	hypothetical protein
VOG1901	unknown	hypothetical protein
VOG1902	unknown	hypothetical protein
VOG1903	unknown	hypothetical protein
VOG1907	unknown	hypothetical protein
VOG1909	unknown	hypothetical protein
VOG1912	portal	hypothetical protein
VOG1914	unknown	hypothetical protein
VOG1915	unknown	hypothetical protein
VOG1916	unknown	hypothetical protein
VOG1917	unknown	hypothetical protein
VOG1919	unknown	hypothetical protein
VOG1920	unknown	hypothetical protein
VOG1921	unknown	hypothetical protein
VOG1924	unknown	hypothetical protein
VOG1926	unknown	hypothetical protein
VOG1927	unknown	hypothetical protein
VOG1928	unknown	hypothetical protein
VOG1930	unknown	hypothetical protein
VOG1931	unknown	hypothetical protein
VOG1933	unknown	hypothetical protein
VOG1936	AAA ATPase	AAA ATPase
VOG1942	unknown	hypothetical protein
VOG1944	unknown	hypothetical protein
VOG1945	unknown	hypothetical protein
VOG1948	unknown	hypothetical protein
VOG1950	unknown	hypothetical protein
VOG1951	unknown	hypothetical protein
VOG1952	unknown	hypothetical protein
VOG1953	unknown	hypothetical protein
VOG1956	unknown	hypothetical protein
VOG1960	unknown	hypothetical protein
VOG1962	unknown	hypothetical protein
VOG1964	unknown	hypothetical protein
VOG1965	unknown	hypothetical protein
VOG1967	unknown	hypothetical protein
VOG1968	unknown	hypothetical protein
VOG1975	unknown	hypothetical protein
VOG1979	unknown	hypothetical protein
VOG1980	unknown	hypothetical protein
VOG1981	small outer capsid	small outer capsid protein
VOG1982	unknown	hypothetical protein
VOG1984a	unknown	hypothetical protein
VOG1984b	unknown	hypothetical protein
VOG1985	unknown	hypothetical protein
VOG1986	unknown	hypothetical protein
VOG1987	unknown	hypothetical protein
VOG1988	unknown	hypothetical protein
VOG1989	unknown	hypothetical protein
VOG1992	internal head	internal head protein
VOG1993	unknown	hypothetical protein
VOG1995	unknown	hypothetical protein
VOG1996	unknown	hypothetical protein
VOG1998	unknown	hypothetical protein
VOG2000	unknown	hypothetical protein
VOG2001	unknown	hypothetical protein
VOG2002	unknown	hypothetical protein
VOG2004	unknown	hypothetical protein
VOG2005	homing endonuclease	homing endonuclease
VOG2006	hinge connector of long tail fiber proximal connector	hinge connector of long tail fiber proximal connector
VOG2011	unknown	hypothetical protein
VOG2012	DNA endonuclease IV	DNA endonuclease IV
VOG2013	unknown	hypothetical protein
VOG2015	gp5	gp5
VOG2017	gp8	gp8
VOG2018	unknown	hypothetical protein
VOG2020	unknown	hypothetical protein
VOG2021	unknown	hypothetical protein
VOG2023	unknown	hypothetical protein
VOG2024	unknown	hypothetical protein
VOG2025	unknown	hypothetical protein
